8	20	30	40	47
1	27	34	40	46
24	26	36	37	46
6	9	16	22	38
13	26	30	32	46
2	14	22	23	34
6	14	26	34	42
13	14	27	30	31
6	16	21	30	47
2	10	15	28	39
17	32	35	41	44
2	9	12	17	18
5	8	15	22	28
1	5	11	37	44
5	6	15	28	46
5	14	24	29	40
23	24	38	39	42
10	21	37	43	46
22	29	35	41	47
3	19	22	32	36
2	3	13	28	31
20	29	42	44	46
11	12	16	19	48
7	13	18	21	24
14	17	26	35	46
5	7	17	19	36
4	19	26	35	48
17	30	31	34	46
6	19	29	40	47
14	21	38	42	44
12	24	26	39	46
2	15	19	34	35
4	6	15	43	44
4	8	18	24	29
17	20	30	36	41
5	15	27	45	48
1	10	15	32	48
11	24	33	35	47
6	12	25	29	48
2	4	6	17	49
17	28	29	48	49
17	21	27	41	49
7	10	11	19	27
8	16	24	27	39
2	3	25	38	40
4	9	22	24	45
3	13	18	23	38
3	18	35	42	43
9	23	36	44	45
12	14	35	39	42
7	15	38	43	46
8	34	35	37	48
15	16	21	40	49
2	20	29	30	43
1	7	29	35	45
22	24	27	36	37
24	26	41	42	47
6	10	25	29	32
5	14	21	26	40
27	30	41	44	49
20	29	43	44	45
14	16	36	38	44
9	16	30	47	49
11	25	34	37	45
11	14	22	23	25
2	14	22	24	26
19	24	26	35	42
4	27	35	36	46
5	9	27	28	30
6	11	14	34	48
19	29	31	36	49
10	11	27	31	37
2	8	21	33	36
4	28	38	40	42
17	23	26	30	32
17	21	30	40	41
19	24	25	40	42
19	22	25	40	46
5	19	24	29	44
8	15	17	27	35
15	20	23	27	32
3	7	38	40	46
7	22	26	32	42
8	14	16	20	49
8	14	16	20	46
17	22	25	30	31
9	26	27	47	49
17	31	46	47	49
1	14	15	28	41
13	15	29	31	35
2	21	24	27	36
6	11	12	34	45
1	2	5	11	16
1	2	5	23	36
2	19	23	32	40
3	18	21	23	30
7	20	21	32	38
3	4	17	19	31
2	5	15	28	39
22	31	34	39	46
15	18	27	30	34
3	4	17	19	20
11	23	37	44	46
2	20	21	38	49
21	22	25	26	44
3	18	19	28	33
4	24	34	40	47
6	8	24	40	49
5	14	17	36	48
5	8	13	35	49
3	5	6	36	40
2	10	16	21	30
5	9	10	29	39
2	3	8	29	33
5	21	29	39	42
12	19	36	38	39
1	2	26	37	44
4	11	25	36	43
6	9	30	34	39
29	32	34	38	44
6	9	11	36	38
3	27	33	40	41
9	18	33	45	46
32	34	44	45	47
12	27	36	42	46
5	15	19	27	48
22	25	34	38	45
9	27	34	36	46
13	15	20	29	49
24	29	35	45	47
12	14	19	23	46
3	4	19	31	47
6	25	26	33	35
8	13	38	41	44
9	18	36	44	45
11	14	36	40	45
2	22	33	41	43
19	20	30	31	46
4	8	17	45	48
6	10	15	34	43
3	7	32	41	46
2	9	12	23	24
2	22	30	31	34
25	28	30	31	42
3	6	15	27	34
3	6	15	27	37
3	6	15	27	48
11	17	23	38	42
26	36	39	40	45
31	35	36	38	43
4	25	27	47	48
7	30	31	44	48
9	23	26	42	47
13	25	32	39	49
8	19	30	31	47
5	10	16	35	42
27	33	42	43	49
14	27	33	43	49
2	7	9	23	47
9	16	21	27	35
6	9	10	13	35
2	14	22	44	48
3	18	19	33	47
18	26	35	42	46
2	4	17	34	49
5	19	32	41	46
2	4	27	32	48
3	13	14	26	37
3	11	29	36	45
7	8	16	37	47
7	24	36	38	42
7	14	25	38	44
7	18	30	33	46
2	8	18	30	46
10	21	26	35	41
3	6	8	18	26
1	13	16	17	22
4	24	36	38	43
18	20	25	29	46
3	13	22	27	33
8	10	17	18	44
13	14	27	31	35
3	11	13	28	31
7	25	41	45	47
5	15	18	24	28
7	8	24	25	31
2	9	10	14	39
7	20	25	39	46
23	30	33	45	47
4	5	15	39	47
10	11	15	28	37
7	10	13	36	38
7	8	38	43	46
12	25	30	35	41
7	15	17	22	40
15	24	33	42	43
2	20	44	47	49
1	14	19	28	38
20	27	30	38	47
3	13	25	38	44
24	27	39	40	42
7	10	19	35	39
10	11	24	33	43
7	27	29	46	49
7	16	29	32	39
3	19	24	41	45
4	18	24	30	36
1	5	8	22	25
4	21	22	43	48
12	18	22	30	45
3	7	21	41	45
1	14	26	44	45
13	22	23	24	32
4	6	11	23	40
5	15	25	27	47
22	35	42	43	49
2	6	8	16	48
2	10	22	31	38
16	18	26	30	49
1	22	37	40	48
13	23	32	41	47
11	13	29	30	46
17	20	23	32	34
1	14	36	38	44
19	23	29	35	43
22	25	30	31	39
11	12	14	35	39
3	6	7	12	28
4	15	25	27	31
24	33	36	37	46
3	7	22	32	41
1	5	17	18	40
3	4	18	39	43
8	13	20	21	23
32	36	38	45	49
5	27	29	30	49
2	9	10	13	24
7	9	13	28	49
8	13	17	23	40
2	16	37	38	48
15	16	31	32	35
4	16	26	31	39
7	14	26	31	32
9	20	34	40	42
7	18	20	27	29
4	7	23	31	45
12	13	16	40	47
3	12	14	29	41
7	33	37	45	47
8	10	21	32	41
2	8	11	39	41
13	17	18	25	37
18	38	45	46	49
5	25	27	45	47
6	8	12	23	36
9	30	32	38	42
23	33	40	41	46
4	18	26	31	42
10	28	32	41	49
5	20	24	39	43
11	19	27	43	45
1	14	28	34	41
9	13	31	35	40
4	10	11	28	39
8	22	25	28	39
2	17	21	30	38
20	27	33	43	46
2	3	26	30	42
27	32	33	43	46
23	28	39	40	46
18	28	38	43	44
1	17	23	37	48
5	26	29	38	43
3	11	12	21	44
3	11	12	28	29
4	9	31	39	42
5	6	11	17	23
5	13	14	28	45
6	16	28	31	36
2	4	22	31	32
16	17	23	24	33
6	7	14	39	42
1	10	22	30	47
3	4	8	32	49
11	12	32	34	47
13	14	23	35	44
7	9	21	36	41
14	15	26	42	49
11	14	27	39	49
7	11	18	29	46
1	6	15	28	32
26	27	43	45	46
2	15	19	30	48
20	32	33	43	46
3	6	15	21	27
21	31	35	39	41
15	26	34	36	47
7	16	21	22	26
21	28	29	39	45
7	9	14	42	45
11	24	27	40	42
26	39	40	44	49
4	9	24	44	45
28	32	36	37	40
9	27	31	34	37
2	4	20	22	29
3	4	26	33	38
4	6	37	41	42
2	12	16	41	46
13	15	25	29	37
11	20	29	38	47
2	14	24	26	36
9	15	21	33	43
2	33	36	39	46
16	24	25	32	36
4	5	19	24	44
8	10	16	24	44
29	30	34	38	49
10	25	31	39	49
4	7	11	24	31
6	7	15	43	44
34	35	38	39	45
4	33	40	45	47
6	29	34	35	36
2	15	17	24	43
9	13	23	25	28
9	17	20	39	41
3	22	23	28	43
7	9	21	29	46
21	25	33	38	48
26	32	36	45	49
18	22	23	26	28
4	21	34	37	39
3	6	11	15	27
8	12	14	18	24
9	15	34	36	47
6	14	21	28	34
9	18	26	29	44
3	7	18	40	46
4	7	16	22	46
17	31	36	37	42
8	16	37	45	47
1	17	28	34	38
1	4	33	48	49
2	15	25	26	46
5	22	33	39	48
4	16	19	27	30
9	18	20	26	29
7	14	16	38	44
1	27	31	33	41
23	26	30	31	32
6	32	40	46	49
14	16	19	37	44
1	2	4	5	10
1	16	19	21	37
9	18	35	39	48
6	19	28	31	35
17	23	24	39	42
2	11	13	31	37
1	15	17	31	42
5	20	23	32	34
7	11	15	16	38
9	16	27	47	49
1	17	18	23	48
5	9	29	33	49
13	17	39	43	48
3	21	23	30	41
10	17	33	39	46
15	20	29	33	46
4	5	8	17	30
3	6	25	33	45
2	22	31	36	44
10	11	15	37	39
8	21	29	35	36
5	18	23	30	32
4	15	24	30	45
13	18	23	27	40
1	5	15	28	41
2	9	16	28	39
4	7	11	19	24
19	31	38	41	42
2	5	36	43	48
16	21	32	42	44
8	19	28	31	47
5	6	27	34	43
6	23	25	30	34
6	29	35	38	39
19	30	32	39	44
4	5	34	36	46
3	21	34	36	37
3	17	21	22	29
3	8	10	17	44
3	28	32	34	48
4	16	27	28	30
14	27	42	43	49
5	15	25	26	40
18	21	33	44	45
4	19	38	42	45
2	3	20	31	47
17	21	35	41	49
14	17	22	33	46
13	19	33	36	43
2	10	21	33	44
3	8	19	27	36
18	25	30	32	39
2	5	9	10	13
2	24	26	37	46
10	23	28	32	49
12	22	28	40	47
6	10	12	22	30
7	27	34	36	41
21	22	25	36	44
