1967	6495	
2357	6104	
263	6491	
2281	6066	
5844	6350	
121	6547	
2683	6294	
1605	5921	
2730	6378	
6259	
6259	6593	
4794	6041	
5831	6002	
2517	6337	
4731	6088	
4936	6051	
3915	6327	
4856	6362	
3752	6172	
2274	5985	
3616	6565	
466	6407	
3032	5925	
1847	6188	
5943	
5943	6000	
1111	5945	
2217	6133	
284	6116	
2467	6555	
1323	6550	
3879	6023	
1722	6659	
3655	6075	
3598	6398	
3026	6154	
3906	5939	
837	6019	
2793	6130	
3707	5984	
761	6469	
3657	6125	
1613	6625	
3187	6281	
4590	6475	
2560	6253	
2835	6376	
5049	6537	
1380	6208	
1722	6086	
2846	5998	
1616	6607	
478	6334	
2154	6026	
5880	6506	
2719	6363	
5669	6365	
5359	6477	
762	6059	
308	6037	
338	6511	
4729	6206	
2287	6251	
4482	6201	
5700	6409	
677	6411	
2536	6237	
1477	6172	
4877	6400	
3048	6113	
2730	6328	
210	5942	
4915	6634	
2099	5989	
5560	6536	
1674	6036	
466	6110	
5503	6582	
1311	6654	
2649	6522	
1827	6487	
2147	6092	
340	6300	
736	6562	
125	5924	
2509	5941	
1710	6108	
4924	5964	
