45	43	39	31	12	8
27	25	22	11	10	5
49	45	26	20	19	18
45	40	37	14	11	2
49	39	35	15	10	8
47	43	35	31	26	24
44	38	29	23	20	13
47	38	22	15	13	8
42	34	29	27	10	3
25	23	13	6	5	4
39	21	15	13	7	1
46	39	38	31	4	2
38	33	26	22	18	15
48	25	18	11	4	2
33	32	31	28	8	2
34	32	21	19	13	10
36	32	29	25	24	16
33	32	31	12	11	10
46	32	30	23	16	5
48	33	14	11	5	3
39	28	19	16	9	4
36	30	24	21	19	13
33	30	26	24	14	8
49	44	25	14	11	1
33	27	22	13	6	3
35	27	21	19	13	1
48	30	20	15	5	2
37	34	32	21	19	4
44	40	27	17	6	1
49	45	41	39	20	8
48	40	38	17	16	5
48	43	25	21	16	6
42	40	18	16	10	5
48	47	19	16	15	1
48	46	35	30	12	4
30	16	12	9	8	2
36	35	31	27	22	18
45	41	40	37	24	22
34	32	27	14	9	1
40	39	36	28	21	13
47	31	30	28	19	8
48	45	14	9	7	1
49	40	20	18	6	2
44	32	26	14	8	5
47	42	35	24	17	11
49	42	36	19	12	7
46	37	27	24	15	8
45	37	36	22	20	2
48	47	37	30	24	1
44	43	33	29	15	9
49	44	43	35	34	12
33	31	30	29	15	1
47	34	25	22	21	1
45	41	39	11	8	2
49	43	36	28	26	8
25	23	22	19	14	11
42	30	26	10	8	5
42	38	36	9	6	2
48	42	25	9	7	3
45	42	32	10	8	4
43	42	35	18	15	3
32	27	19	9	5	4
42	41	40	35	16	13
46	45	40	38	28	4
41	31	27	22	17	8
40	28	17	8	2	1
43	41	33	27	16	7
44	43	42	41	20	1
47	33	29	25	14	13
45	41	39	29	23	17
49	48	44	22	14	2
47	16	15	13	7	3
49	48	38	28	11	10
35	27	24	21	16	9
33	29	18	17	7	1
44	36	25	22	21	19
43	32	31	22	4	2
46	27	26	16	9	4
45	39	38	37	35	34
49	41	35	27	21	17
49	46	41	32	31	30
39	30	26	23	16	10
35	30	19	18	16	13
42	31	29	26	23	9
49	36	28	21	16	12
44	36	23	14	11	4
48	34	33	17	15	8
42	37	17	13	2	1
49	45	32	31	25	16
39	38	21	18	8	5
41	39	34	31	10	8
45	44	36	31	29	11
45	35	18	16	11	6
39	33	25	24	21	9
45	38	33	32	19	18
41	35	34	10	3	1
33	29	28	14	13	11
43	41	33	23	22	2
33	29	27	22	21	17
49	42	40	21	19	4
46	35	12	11	9	1
46	45	44	23	18	8
45	37	34	25	11	7
44	38	12	11	10	8
49	48	41	36	26	17
48	45	28	19	7	5
44	42	36	26	2	1
34	23	22	15	14	4
38	31	15	13	11	3
48	40	18	14	7	5
44	43	37	35	15	9
46	45	32	30	26	13
31	26	15	13	3	2
47	37	32	20	17	3
42	36	27	21	16	9
38	30	17	16	9	4
49	38	36	21	7	5
47	41	37	36	16	11
34	32	23	20	17	5
49	37	34	32	29	12
48	19	16	14	12	11
38	23	21	17	11	1
44	42	39	37	22	10
39	36	31	28	26	14
34	30	29	25	23	6
47	34	29	12	9	5
36	35	18	13	9	6
45	27	14	12	6	1
45	37	34	22	17	6
30	20	19	16	14	7
36	23	5	4	2	1
41	37	26	23	14	8
49	45	36	27	22	9
26	23	21	20	13	8
35	33	27	12	10	8
35	33	32	27	18	1
46	42	19	10	5	2
42	40	26	17	15	12
47	36	25	22	12	5
46	45	34	25	15	12
43	37	30	27	24	22
47	34	32	24	8	4
35	31	23	16	6	3
43	41	28	18	15	5
45	44	23	19	14	1
46	30	20	10	3	1
47	40	37	30	20	9
46	40	38	28	18	15
44	20	19	14	13	1
49	38	35	32	16	14
48	27	15	11	6	3
47	20	12	7	6	2
40	34	20	12	4	3
49	39	36	18	12	10
44	41	34	33	28	27
44	38	16	10	4	2
45	43	40	28	10	4
40	26	25	22	4	2
40	26	22	19	17	13
29	20	18	7	6	3
46	39	20	13	12	8
42	35	25	21	14	9
46	29	25	20	18	7
48	37	29	21	17	16
44	40	39	38	35	34
43	41	34	28	14	1
33	32	24	20	17	10
38	30	22	16	12	3
40	38	32	31	15	13
49	31	28	17	16	3
35	25	21	13	12	10
37	20	19	17	13	3
48	46	43	41	39	33
45	35	20	14	11	7
40	35	31	27	14	13
43	39	29	23	21	7
48	43	29	25	24	3
48	20	16	12	10	6
38	29	21	18	17	16
46	38	22	21	15	8
37	31	29	27	17	5
41	39	28	6	3	2
44	43	34	20	14	4
47	35	33	17	11	8
41	39	29	10	9	5
49	43	40	38	28	21
44	36	19	17	13	1
46	44	37	36	26	12
49	34	27	20	7	6
41	17	14	9	7	3
47	35	34	30	7	4
42	36	34	32	25	11
43	41	28	19	10	4
49	39	36	30	17	8
41	34	20	17	15	6
38	37	28	25	12	2
22	20	10	5	4	3
42	28	14	10	5	1
44	33	28	9	7	1
46	36	33	32	31	25
47	44	42	24	19	4
30	25	21	20	18	15
37	30	24	13	12	8
28	25	23	20	14	5
40	38	37	27	3	2
48	45	37	27	15	5
42	34	26	16	14	6
41	40	36	26	16	8
46	39	37	14	11	4
43	40	28	23	22	3
45	14	10	8	5	2
40	37	35	33	24	7
37	34	31	15	10	7
45	36	29	28	14	11
47	39	38	16	7	4
45	33	31	25	21	10
47	38	35	26	22	2
44	42	31	27	15	10
48	33	26	20	17	7
40	33	27	26	25	9
44	42	29	16	12	6
48	40	9	4	2	1
47	26	23	9	7	2
48	38	33	17	7	6
49	47	44	31	23	5
47	35	30	21	13	8
46	40	36	28	16	1
45	30	22	21	18	12
48	47	31	10	4	3
48	17	15	11	9	2
38	33	31	30	19	13
40	31	26	20	13	9
39	37	19	17	14	1
42	37	30	27	7	1
41	40	35	23	7	5
30	16	14	12	11	8
29	26	13	7	6	4
48	45	43	39	32	19
24	23	21	18	13	7
43	35	19	16	15	4
47	34	25	22	7	5
44	40	26	21	14	5
41	24	23	13	12	5
39	38	31	23	18	9
47	45	40	32	3	1
47	44	27	15	6	4
31	24	19	10	7	3
39	28	26	13	10	3
45	33	19	18	8	1
43	42	36	24	16	1
47	38	24	23	22	6
39	36	19	17	7	5
41	36	34	32	27	7
48	46	40	32	17	11
26	24	20	13	9	6
46	40	34	19	17	5
40	33	24	18	11	8
46	38	36	33	24	21
49	37	35	30	16	6
41	33	27	20	14	5
37	33	25	21	7	3
49	39	18	14	6	4
28	22	15	8	5	2
47	44	36	28	15	14
46	42	19	13	11	7
32	26	22	12	3	1
46	40	38	34	33	28
37	22	16	7	6	4
49	46	30	29	23	17
47	22	16	12	5	2
48	33	26	25	24	17
46	45	36	32	31	10
42	40	38	34	33	14
49	32	15	10	5	4
45	44	27	24	12	3
47	36	35	18	15	6
39	32	30	25	18	12
40	37	26	25	23	18
39	38	31	27	17	10
41	31	27	23	7	6
48	39	33	22	8	5
44	30	29	18	10	5
38	23	15	13	9	8
39	34	31	30	9	6
34	29	22	21	17	1
31	28	22	17	9	7
48	47	46	39	13	5
48	43	40	38	7	1
37	33	32	31	28	7
32	28	15	10	6	1
48	47	37	19	16	14
45	28	26	19	17	7
43	30	21	11	2	1
43	39	38	27	22	4
47	43	41	30	16	6
44	36	34	24	14	11
45	22	14	12	8	3
35	31	22	10	9	4
49	47	46	37	31	17
48	38	12	11	7	4
37	29	28	27	20	10
46	32	31	29	27	25
48	47	41	33	27	25
47	43	33	29	21	16
47	36	34	27	23	7
44	37	23	16	6	5
48	47	28	21	14	5
40	35	31	19	13	9
47	33	16	14	8	5
23	20	16	13	6	5
45	42	36	20	19	10
42	38	26	24	23	11
39	38	30	27	25	16
41	33	13	11	10	8
47	45	44	34	32	4
48	43	42	32	17	8
49	42	22	20	14	1
39	32	14	10	9	2
39	38	28	27	10	1
37	36	35	34	29	21
38	27	24	17	9	6
42	21	17	12	7	5
39	33	28	20	17	8
48	44	28	23	10	2
46	44	40	34	27	1
46	42	41	22	19	4
48	42	38	31	26	13
40	28	17	11	8	4
48	42	23	15	10	4
28	27	26	25	22	20
35	22	20	16	9	8
44	17	7	6	4	2
45	37	36	20	19	14
42	29	25	23	19	3
38	34	29	15	9	5
46	44	26	15	7	1
32	22	15	6	3	2
48	37	23	17	5	1
49	46	38	21	6	2
40	27	23	20	18	13
37	28	18	9	6	5
49	45	38	35	19	16
43	36	32	28	17	1
38	35	23	20	17	13
33	29	21	8	5	1
28	27	22	20	19	8
48	29	27	12	11	4
44	37	33	18	7	1
43	34	19	15	10	6
35	27	22	12	7	6
42	40	26	4	3	1
42	39	34	24	15	11
42	37	34	31	25	22
48	45	38	36	27	6
38	35	29	21	8	7
24	21	18	9	7	3
47	45	33	21	19	7
46	42	30	26	24	2
33	26	20	9	5	3
41	20	16	14	12	1
44	42	25	20	11	10
49	43	33	26	24	7
39	31	24	11	7	4
47	40	27	15	12	2
42	37	31	28	26	4
42	38	36	29	13	2
37	35	14	11	5	1
45	33	29	27	20	9
46	44	42	34	25	11
41	34	32	26	17	1
33	27	25	8	6	2
49	34	31	8	5	3
49	41	32	25	17	15
47	46	39	26	6	5
47	45	44	18	9	7
40	32	28	26	14	10
45	44	40	33	32	22
42	39	36	28	15	6
49	44	35	18	13	4
46	33	27	26	25	14
36	35	29	25	21	8
45	43	39	25	20	8
42	34	32	21	12	7
39	36	25	19	14	12
46	45	41	11	9	3
48	41	31	27	25	19
35	28	23	18	8	1
47	32	16	14	12	4
47	31	29	28	27	10
46	45	41	20	15	2
46	33	31	30	18	7
39	29	20	13	8	2
44	41	32	25	24	15
40	38	36	22	19	8
31	28	23	21	20	1
46	33	32	22	8	4
44	41	30	27	19	9
35	34	19	17	15	11
41	39	36	35	29	13
38	35	21	16	4	2
34	30	28	21	14	6
49	38	30	29	8	3
31	29	28	26	4	2
47	39	38	16	10	2
43	25	20	8	7	2
47	38	34	33	27	24
39	31	18	10	4	1
31	30	29	20	19	10
46	24	17	13	10	5
37	25	23	18	3	2
36	24	15	14	11	7
40	36	26	16	6	5
45	31	29	25	24	3
34	33	31	25	12	6
42	38	37	36	31	23
